OPEID,School Name,City,State,Year,Foreign Gift Received Date,Foreign Gift Amount,Adjusted to 2013 Dollars,Gift Type,Country of Giftor,Giftor Name,Comments
215500,Harvard University,Cambridge,MA,2006,7/1/13,"$125,617.00 ",,Contract,BURMA,,
198900,University of Kentucky,Lexington,KY,2004,1/31/13,"$70,000.00 ",,Contract,CHINA,Confucius Institute Headquarters of,
159800,University of Georgia,Athens,GA,2005,1/23/13,"$385,173.00 ",,Contract,SWITZERLAND,Drugs for Neglected Diseases,
221900,Tufts University,Medford,MA,2013,1/22/13,"$270,000.00 ",,Monetary Gift,SAUDI ARABIA,"Ali Mohammed Allehbi, M.D.",
216500,Mass. College of Pharmacy & Health Sciences,Boston,MA,2007,1/17/13,"$372,221.00 ",,Contract,SAUDI ARABIA,Saudi Arabian Cultural Mission,
216500,Mass. College of Pharmacy & Health Sciences,Boston,MA,2007,1/1/13,"$443,100.00 ",,Contract,SAUDI ARABIA,King Faisal University,
212100,Babson College,Babson Park,MA,2009,12/31/12,"$209,534.00 ",,Contract,FRANCE,HEC,
212100,Babson College,Babson Park,MA,2009,12/31/12,"$91,696.00 ",,Contract,SAUDI ARABIA,Saudi Basic Industries Corporation,
144400,George Washington University,Washington,DC,2006,12/31/12,"$469,677.00 ",,Contract,ENGLAND,Dept of International Developolment,
144400,George Washington University,Washington,DC,2006,12/31/12,"$638,736.00 ",,Contract,UNITED ARAB EMIRATES,Embassy of Arb Emirates,
144400,George Washington University,Washington,DC,2006,12/31/12,"$504,302.00 ",,Contract,CANADA,Embanet Knowledge Corp,
144400,George Washington University,Washington,DC,2006,12/31/12,"$426,905.00 ",,Contract,KAZAKHSTAN,Government of Kazakhstan,
144400,George Washington University,Washington,DC,2006,12/31/12,"$459,189.00 ",,Contract,KUWAIT,Government of Kuwait,
144400,George Washington University,Washington,DC,2006,12/31/12,"$5,866,375.00 ",,Contract,SAUDI ARABIA,Royal Embassy of Saudi Arabia,
144500,Georgetown University,Washington,DC,2006,12/31/12,"$25,753,062.00 ",,Contract,QATAR,Qatar Foundation,"3) Qatar Foundation (Qatar) - $25,753,062 for operation of the School of Foreign Service in Qatar;"
173900,Northwestern University,Evanston,IL,2006,12/31/12,"$22,111,424.00 ",,Contract,QATAR,Qatar Foundation,
282300,Saint John's University,Jamaica,NY,2002,12/31/12,"$400,000.00 ",,Contract,ITALY,Congregazione Della Missione,
194800,University of Kansas,Lawrence,KS,2005,12/31/12,"$328,338.00 ",,Contract,KUWAIT,Embassy of Kuwait Cultural Div.,
194800,University of Kansas,Lawrence,KS,2001,12/31/12,"$24,119.00 ",,Contract,SAUDI ARABIA,ARAMCO Services Co,
194800,University of Kansas,Lawrence,KS,1998,12/31/12,"$29,060.00 ",,Contract,KUWAIT,Embassy of Kuwait - Kuwait Universi,
194800,University of Kansas,Lawrence,KS,1999,12/31/12,"$491,500.00 ",,Contract,JAPAN,Kansai University,
194800,University of Kansas,Lawrence,KS,1997,12/31/12,"$141,446.00 ",,Contract,JAPAN,Kanagawa University,
194800,University of Kansas,Lawrence,KS,1997,12/31/12,"$2,061,285.00 ",,Contract,SAUDI ARABIA,Saudi Arabian Cultural Mission,
194800,University of Kansas,Lawrence,KS,1997,12/31/12,"$87,341.00 ",,Contract,SAUDI ARABIA,Sabic Americas Inc.,
144500,Georgetown University,Washington,DC,2007,12/27/12,"$506,651.00 ",,Contract,FRANCE,Universite de Versailles,"5) Universite de Versailles (France) - $506,651 for an academic training program; "
144500,Georgetown University,Washington,DC,2012,11/27/12,"$2,000,000.00 ","$2,029,616.72 ",Monetary Gift,KUWAIT,Embassy of Kuwait,2) Embassy of Kuwait (Kuwait) - $2M for Shaikh al-Sabah Chair (faculty support);
144500,Georgetown University,Washington,DC,2012,1/26/12,"$250,000.00 ","$253,702.09 ",Monetary Gift,ENGLAND,John McInespie,"1) John McInespie (England) - $250,000 for the Justice Brennan Law Center Fund; "
212100,Babson College,Babson Park,MA,2009,12/21/12,"$10,000.00 ",,Contract,BRAZIL,B.I. International,
199900,University of Louisville,Louisville,KY,2004,12/21/12,"$20,200.00 ",,Contract,CANADA,MD Primer-Canadian Heart Research C,
369100,Middlebury College,Middlebury,VT,2012,1/3/12,"$500,000.00 ","$507,404.18 ",Monetary Gift,SINGAPORE,Ms. Lee Ying & Mr. Ngiap Puay Lim, #71-Foreign Gift-$500K gift (wire transfer) supports 2-3 year term staff position and to fund unpaid student internships.
215500,Harvard University,Cambridge,MA,2007,12/20/12,"$253,264.00 ",,Contract,NORWAY,,
369600,University of Vermont and State Agricultural College,Burlington,VT,2003,12/18/12,"$369,457.00 ",,Contract,FRANCE,LeDucq Foundation,
111700,Azusa Pacific University,Azusa,CA,2012,11/30/12,"$299,980.00 ","$304,422.21 ",Monetary Gift,SOUTH KOREA,Kwang Myung Church," 

Description of foreign gift from Kwang Myung Church: It is a capital gift."
130500,Stanford University,Stanford,CA,2012,11/7/12,$1.00 ,$1.01 ,Monetary Gift,HONG KONG,,
232500,University of Michigan - Ann Arbor,Ann Arbor,MI,1997,12/14/12,"$771,456.00 ",,Contract,GERMANY,Adidas AG,
144500,Georgetown University,Washington,DC,2007,12/13/12,"$1,081,655.00 ",,Contract,ENGLAND,Rio Tinto Group," 7) Rio Tinto (England) - $1,081,655 for a custom business education program; "
